PUZZLE,CATEGORY,,
RIGHT DOWN TO THE WIRE,Phrase,,
LIFTING WEIGHTS,What Are You Doing?,,
SPOTTED OWL,Living Thing,,
TALKING THE TALK AND WALKING THE WALK,Rhyme Time,,
PLAYING A PRACTICAL JOKE,Fun & Games,,
THE VIEW,Title,,
FRIENDLY FLIGHT ATTENDANTS,People,,
DIAMOND IN THE ROUGH,Phrase,,
AMBITION,Thing,,
ONE OF THE GANG,Person,,
ROLLING OUT THE RED CARPET,Event,,
GARDEN AND SUPPORT HOSE,Same Name,,
HOBBIES,Thing,,
TALK ABOUT AN EXOTIC LOCATION,Phrase,,
SAINT BERNARD,Living Thing,,
DAZZLING DIAMONDS,Things,,
PUBLIC SPEAKING,Thing,,
CLASSIC NOVEL,Thing,,
BABY ON BOARD OF DIRECTORS,Before & After,,
OLYMPIAN,Person,,
DELICIOUS AND NUTRITIOUS,Rhyme Time,,
MULBERRY TREE,Living Thing,,
THE BIG PICTURE,Phrase,,
REFRIGERATOR MAGNETS,In the Kitchen,,
DETROIT LIONS,Proper Name,,
WARM APPLE FRITTERS WITH POWDERED SUGAR,Food & Drink,,
GRADUALLY GAINING GROUND,Same Letter,,
ACTIVE DUTY,Thing,,
ARGYLE SWEATER,Thing,,
IN OTHER WORDS,Phrase,,
THE SOUND OF LAUGHTER,Thing,,
ELECTRIC RAZOR,Around the House,,
OLYMPIC TRACK AND FIELD MOUSE,Before & After,,
SHOWSTOPPING MUSICAL NUMBER,Show Biz,,
SHOW YOUR STUFF,Phrase,,
SOAKING IN A HOT TUB UNDER THE STARS,What Are You Doing?,,
CHERRY ORCHARD,Place,,
SCALLOPED POTATOES,Food & Drink,,
DEAL OF THE CENTURY,Thing,,
LOOKING SPIFFY,Phrase,,
SWIMMING IN THE PACIFIC OCEAN,Fun & Games,,
NEEDLEPOINT PILLOWS,Around the House,,
GETTING LOST IN THE CROWD,What Are You Doing?,,
VALUABLE GIFT,Thing,,
MAKING MINT JULEPS,What Are You Doing?,,
FEATURED SOUTHERN LOCALE,Fun & Games,,
I WILL ALWAYS LOVE YOU BY DOLLY PARTON,Song/Artist,,
THROW CAUTION TO THE WIND CHIMES,Before & After,,
GRACELAND,Place,,
A PATIO OVERLOOKING THE OCEAN,Place,,
VICTORY IS SWEET,Phrase,,
HEAVY DUMBBELL,Thing,,
THE DUKES OF HAZARD,The 80's,,
FIREPLACE MANTLE,Around the House,,
BOWLING AND DEBUTANTE BALL,Same Name,,
THINK BACK,Phrase,,
VACATION ALL I EVER WANTED,Song Lyrics,,
JEFF FOXWORTHY,Proper Name,,
PRIVATE INVESTIGATOR,Occupation,,
QUITE AN EVENT,Phrase,,
KENNY CHESNEY,Proper Name,,
BIRDS OF A FEATHER FLOCK TOGETHER,Rhyme Time,,
GIVE ME FIVE,Phrase,,
SURE TO PUT A SMILE ON YOUR FACE,Phrase,,
ARTS FESTIVAL,Event,,
WALKER TEXAS RANGER,The 90's,,
ALIVE AND KICKING,Phrase,,
CAROLINA PANTHERS,Proper Name,,
SECOND HELPING,Thing,,
SHED SOME LIGHT ON THE SUBJECT,Phrase,,
KEITH URBAN MYTH,Before & After,,
ROLODEX,Thing,,
HAMBURGER PATTY WITH GRILLED PINEAPPLE,Food & Drink,,
DESIGNING WOMEN,The 80's,,
BABY CLOTHES,Things,,
HERD OF CATTLE,Living Things,,
PHOTO GALLERY,Place,,
NATIONAL FOOTBALL LEAGUE,Proper Name,,
BLUEBERRY BUTTERMILK BISCUITS,Same Letter,,
DIGITAL WATCH,Thing,,
RELAXING UNDER THE CARIBBEAN SUN,What Are You Doing?,,
TECHNICAL SUPPORT,Thing,,
PIN THE TAIL ON THE DONKEY,Fun & Games,,
LUCK OF THE DRAW,Phrase,,
YOUNG UPSTART,Person,,
RAISE YOUR HAND,Phrase,,
THE ILIAD AND THE ODYSSEY,Titles,,
FOOD FIGHT IN THE CAFETERIA,Event,,
FRIENDLY FAMILIAR FACES,Same Letter,,
TROPICAL ISLAND OASIS,Place,,
THE SILVER SURFER,Fictional Character,,
MAKING AN EDUCATED GUESS,What Are You Doing?,,
SHARP IMAGE,Thing,,
DEAD POETS SOCIETY,Movie Title,,
BILLINGS MONTANA,On the Map,,
PUBLIC DISPLAY OF AFFECTION,Phrase,,
REPORT CARD SHARK,Before & After,,
FARMHOUSE,Place,,
BEACHES THAT WILL TAKE YOUR BREATH AWAY,Places,,
BULLETIN BOARD,Thing,,
RESTAURANT MANAGER,Occupation,,
POWER SURGE,Thing,,
COMPUTER LAB,Place,,
SOCRATES AND PLATO,Proper Names,,
READING BETWEEN THE LINES,What Are You Doing?,,
TO BE OR NOT TO BE THAT IS THE QUESTION,Quotation,,
POGO STICK,Thing,,
STUDENT COUNCIL,People,,
A GAME OF CAT AND MOUSE,Phrase,,
THROWING WATER BALLOONS,Fun & Games,,
BRIEF LAYOVER,Phrase,,
RUBBER CEMENT,Thing,,
TUCSON ARIZONA,On the Map,,
SINGING SENSATION MARIAH CAREY,Show Biz,,
ELECTRIC CURRENT EVENTS,Before & After,,
TIMBUKTU,Place,,
TRYING ON A NEW GRASS SKIRT,What Are You Doing?,,
THEATER DISTRICT,Place,,
GRAPEFRUIT TREE,Living Thing,,
WILD PITCH,Thing,,
GREENHOUSE,Place,,
FAST TIMES AT RIDGEMONT HIGH,The 80's,,
OH MY GOSH,Phrase,,
HILARY SWANK,Proper Name,,
WEIGHTS AND MEASURES,Things,,
UNIQUE INSIGHT,Thing,,
BAGS OF CANDY,Food & Drink,,
SHOPPING LIST,Around the House,,
GETTING AN EDGE ON THE COMPETITION,What Are You Doing?,,
JACK BLACK CAT,Before & After,,
HIP HIP HOORAY,Phrase,,
LOSE YOUR BLUES EVERYBODY CUT FOOTLOOSE,Song Lyrics,,
JIM CARREY,Proper Name,,
A NIGHTMARE ON ELM STREET,Movie Title,,
PICK AND CHOOSE,Phrase,,
ENTER YOUR PASSWORD,Phrase,,
THE LEGEND OF SLEEPY HOLLOW,Title,,
MAKE EVERY SECOND COUNT DRACULA,Before & After,,
IN THE BUFF,Thing,,
VISITING AN ACTIVE VOLCANO,Event,,
DEVILED EGGS,Food & Drink,,
SECRET COMPARTMENT,Thing,,
LOOK AWAY,Phrase,,
HOWLING AT THE MOON,What Are You Doing?,,
STAGE FRIGHT,Show Biz,,
WINNING A COSTUME CONTEST,Event,,
THE WICKED WITCH OF THE WEST VIRGINIA,Before & After,,
SHAKE IT UP,Phrase,,
BEETLEJUICE,The 80's,,
STADIUM SCOREBOARD,Thing,,
ABBREVIATIONS,Things,,
I PUT A SPELL ON YOU,Song Lyrics,,
FENDER BENDER,Rhyme Time,,
TURNING INTO A WEREWOLF,Event,,
SPOOKY SCARY SKELETONS,Same Letter,,
GIGABYTES,Things,,
SHARING THE ALOHA SPIRIT,What Are You Doing?,,
CHESS CHAMPION,Person,,
MISTAKEN IDENTITY,Phrase,,
KIDDING AROUND,What Are You Doing?,,
RUBBER MASK,Thing,,
THE NEXT BIG THING,Phrase,,
VAMPIRES OF THE TWILIGHT SAGA,Fictional Characters,,
CUBICLE,Place,,
QUIET SECLUDED BEACH,Place,,
ARIZONA CARDINALS,Proper Name,,
HITTING THE JACKPOT,Event,,
LONG OVERDUE,Phrase,,
LAND OF OPPORTUNITY,Place,,
LOBSTER POT,In the Kitchen,,
HERE THERE AND EVERYWHERE,Rhyme Time,,
PRACTICE MAKES PERFECT STRANGERS,Before & After,,
INVITATION TO A BEACH PARTY,Thing,,
TALENT CONTEST,Show Biz,,
MOUTHWATERING DESSERTS,Food & Drink,,
BASKETBALL REFEREE,Occupation,,
ON THE PHONE,Phrase,,
BOULDER COLORADO,On the Map,,
KNITTING A SWEATER,What Are You Doing?,,
WILLIE AND FULL NELSON,Same Name,,
WEB BROWSER,Thing,,
MILES OF AMAZING LAVA FIELDS,Things,,
RAINBOW TROUT,Living Thing,,
THE HUMAN CANNONBALL,Show Biz,,
A WORD OF ADVICE,Phrase,,
TULSA OKLAHOMA,On the Map,,
FOLLOW THE LEADER,Fun & Games,,
BUTCH CASSIDY AND THE SUNDANCE KID,Movie Title,,
ON THE BLINK,Phrase,,
NATURAL HOT MINERAL SPRINGS,Things,,
CONSTRUCTION SITE,Place,,
SUMO WRESTLER,People,,
GROUP EFFORT,Thing,,
BISMARCK NORTH DAKOTA,On the Map,,
REGULAR CUSTOMER,Person,,
ONE DOZEN GLAZED DOUGHNUTS,Food & Drink,,
HOT AIR BALLOON PILOT,Occupation,,
COLE PORTER,Person,,
JOY TO THE FISHES IN THE DEEP BLUE SEA,Song Lyrics,,
CLOSET ORGANIZER,Around the House,,
BARKING UP THE WRONG TREE,What Are You Doing?,,
PINKY RING,Thing,,
PORTERHOUSE STEAK,Food & Drink,,
OUT OF THE FRYING INTO THE FIRE,Phrase,,
BOOT AND BAND CAMP,Same Name,,
HAIRDO,Thing,,
SURPRISE VISIT,Event,,
UPBEAT TEMPO,Thing,,
A FEW GOOD MEN,Movie Title,,
EARLY RISER,Person,,
BIG BULGING BICEPS,Same Letter,,
BRING THE UNDERWATER CAMERA,Phrase,,
INDEPENDENCE MISSOURI,On the Map,,
OUTFOX THE COMPETITION,Phrase,,
ALL HANDS ON DECK,Phrase,,
ANNAPOLIS MARYLAND,On the Map,,
HAIL TO THE CHIEF PETTY OFFICER,Before & After,,
QUARTERBACK PEYTON MANNING,Proper Name,,
FORGE AHEAD,Phrase,,
SWIMMING ALONG A COLORFUL CORAL REEF,Fun & Games,,
SPECIALTY OF THE HOUSE,Thing,,
SITTING IN THE HOT SEAT,What Are You Doing?,,
POSITIVE VIBE,Thing,,
AIR FORCE BASE,Place,,
HANDSOME DEVIL,Person,,
BRIGADIER GENERAL ADMISSION,Before & After,,
UP AND DOWN,Phrase,,
A LITTLE REST AND RECUPERATION,Phrase,,
BILOXI MISSISSIPPI,On the Map,,
AWARDS BANQUET,Event,,
DYNAMIC DUO,People,,
SAN DIEGO ZOO,Landmark,,
MEG AND SAVING PRIVATE RYAN,Same Name,,
COUPON,Thing,,
REQUESTING EXTENDED SHORE LEAVE,What Are You Doing?,,
HOLD THAT THOUGHT,Phrase,,
HOME PAGE,Thing,,
DISTINGUISHED SERVICE,Thing,,
THE PERFECT STORM,Title,,
PRESIDENTIAL SEAL THE DEAL,Before & After,,
SOAKING IN THE SPECTACULAR SCENERY,What Are You Doing?,,
RECRUITING OFFICE,Place,,
PROFESSIONAL TRANSLATOR,Occupation,,
HIGH POINT,Thing,,
EVERYBODY WINS,Phrase,,
SETTING THE DINNER TABLE,What Are You Doing?,,
BUFFALO AND DOLLAR BILLS,Same Name,,
MASHED POTATOES AND GRAVY,Food & Drink,,
REJUVENATING SPA TREATMENTS,Things,,
HUNTING LODGE,Place,,
ACTORS AND ACTRESSES,People,,
TAILGATE PARTY,Event,,
BOSTON HARBOR,On the Map,,
KIND FACE,Thing,,
AN AMERICAN TRADITION,Thing,,
SECOND HONEYMOON,Event,,
PUMPKIN PIE WITH WHIPPED CREAM,Food & Drink,,
A DETECTIVE SEARCHING FOR CLUES,Person,,
SOMEBODY INFLATE THE BEACH BALL,Phrase,,
I WANT MY MTV,The 80's,,
HASTE MAKES WASTE,Rhyme Time,,
GUIDED TOUR,Event,,
SHOOTING STARS,Things,,
GREEN BEANS WITH SAUTED MUSHROOMS,Food & Drink,,
NEVER IN MY WILDEST DREAMS,Phrase,,
THE VILLAGE PEOPLE,The 70's,,
BREAKING THE WISHBONE,Event,,
FASHION MAGAZINES,Around the House,,
COIN BANK,Thing,,
CARVING THE TURKEY,Event,,
FIT AS A FIDDLE,Phrase,,
COMPUTER SYSTEMS ANALYST,Occupation,,
I LIKE TO MOVE IT MOVE IT,Song Lyrics,,
NEW ENGLAND PATRIOTS,Proper Name,,
TIMELESS TREASURES,Things,,
PLAYING FOR KEEPS,What Are You Doing?,,
FIRST GLIMPSE,Thing,,
MY FAVORITE SHOW,Thing,,
DISCO DANCING,The 70's,,
EATING THANKSGIVING LEFTOVERS,What Are You Doing?,,
IMAGINARY FRIEND OF THE FAMILY,Before & After,,
CRUISING THROUGH JUNGLE CANALS,Fun & Games,,
DECISIONS DECISIONS,Phrase,,
BUBBLE BATH,Around the House,,
BITE YOUR TONGUE,Phrase,,
I CAN KEEP A SECRET,Phrase,,
KNITTING NEEDLES,Around the House,,
HEADING IN THE RIGHT DIRECTION,What Are You Doing?,,
WRAPPING PAPER JAM,Before & After,,
SWIM SNORKEL SUNBATHE,Same Letter,,
FAMILY DOCTOR,Occupation,,
ORANGES AND TANGERINES,Food & Drink,,
ENDLESS POSSIBILITIES,Things,,
SUBWAY TOKEN,Thing,,
EXCHANGING GIFTS,Fun & Games,,
DALLAS TEXAS,On the Map,,
GEORGE CLOONEY STARS IN ER,The 90's,,
COMPUTER AND POTATO CHIPS,Same Name,,
THE GOOD THINGS IN LIFE,Phrase,,
TABASCO SAUCE,Food & Drink,,
AUNTS UNCLES AND COUSINS,People,,
A CANDLE IN THE WINDOW,Around the House,,
INDIANAPOLIS COLTS,Proper Name,,
CHECKING MY DAILY HOROSCOPE,What Are You Doing?,,
MORE FUN THAN A BARREL OF MONKEYS,Phrase,,
ENJOYING BREAKFAST IN BED,Event,,
ROMANTIC COMEDY,Show Biz,,
DOING THE MOONWALK,The 80's,,
CONAN THE BARBARIAN,Fictional Character,,
HIGH VOLUME,Phrase,,
BORDER COLLIE,Living Thing,,
ELECTRIC SKILLET,In the Kitchen,,
DEPOSIT SLIP OF THE TONGUE,Before & After,,
HARRISON FORD,Proper Name,,
THE ENGLISH COUNTRYSIDE,Place,,
EXPERT IN THE FIELD,Person,,
SHOPPING ONLINE,What Are You Doing?,,
TIMBER WOLF,Living Thing,,
AMATEUR BOXER SHORTS,Before & After,,
GRINNING FROM EAR TO EAR,Phrase,,
DISC JOCKEY,Occupation,,
THE LITTLE DIPPER,Thing,,
THE MAN WITH THE PLAN,Rhyme Time,,
WIFE AND KIDS,People,,
BADMINTON NET,Fun & Games,,
DRINKING LEMONADE ON THE PORCH SWING,What Are You Doing?,,
INFOMERCIAL,Thing,,
MY SUITCASE IS ALREADY PACKED,Phrase,,
GOSSIP COLUMNIST,Occupation,,
GOOSE DOWN COMFORTER,Around the House,,
FAMILY VIDEO,Thing,,
NEW ENGLAND,On the Map,,
DEEP SLEEP,Rhyme Time,,
ACADEMY AWARD WINNER SANDRA BULLOCK,Show Biz,,
NOSE JOB SECURITY,Before & After,,
BEEF IT UP,Phrase,,
HULA DANCING COMPETITION,Event,,
HOT APPLE CIDER,Food & Drink,,
GIGGLING GIRLS,People,,
IMPROVISING,What Are You Doing?,,
WEEKEND GETAWAY,Event,,
SWEET ROASTED BUTTERNUT SQUASH,Food & Drink,,
DOZING OFF THE BEATEN PATH,Before & After,,
PORKY PIG,Fictional Character,,
THIS SHOULD WHET YOUR APPETITE,Phrase,,
FLANNEL PAJAMAS,Around the House,,
POPPING THE CORK,What Are You Doing?,,
SHOEBOX,Thing,,
HOMEMADE CHOCOLATE CAKE,Food & Drink,,
READY FOR ACTION,Phrase,,
LOOKING THROUGH A TELESCOPE,What Are You Doing?,,
SLUMBER PARTY ANIMAL,Before & After,,
THE SKIPPER,Person,,
WINDSURFING AROUND THE ISLAND,Fun & Games,,
PHYSICAL THERAPIST,Occupation,,
CINCINNATI BENGALS,Proper Name,,
TOUGH PUZZLE,Thing,,
IRISH SETTER,Living Thing,,
CURLING UP WITH A GOOD BOOK,What Are You Doing?,,
COMFORTABLE COUCH CUSHIONS,Same Letter,,
MOZART,Proper Name,,
NUTRITIOUS SNACK,Food & Drink,,
EVERYTHING IS JUST PEACHY,Phrase,,
WHEAT FARM,Place,,
FOLK FESTIVAL,Event,,
DAYDREAM BELIEVER,Song Title,,
ONE GIANT LEAP FOR MANKIND,Quotation,,
ALPHABETICAL ORDER OF ONION RINGS,Before & After,,
BROADWAY,Place,,
FOOTLONG HOT DOG,Food & Drink,,
HISTORIC BATTLEFIELDS,Places,,
POWER OUTAGE,Event,,
COUNTY FAIRGROUNDS,Place,,
WASHINGTON CROSSING THE DELAWARE,Event,,
ARTICHOKE HEART OF THE MATTER,Before & After,,
CHATTERBOX,Person,,
LIFE IS A HIGHWAY I WANT TO RIDE IT ALL NIGHT LONG,Song Lyrics,,
THE MIDAS TOUCH,Phrase,,
CONSTITUTIONAL AMENDMENT,Thing,,
FIGHT SONG,Thing,,
WILLIAMSBURG VIRGINIA,On the Map,,
THE AMAZING RACE,TV Title,,
PAGER,Thing,,
SHUFFLING THE CARDS,What Are You Doing?,,
LOUDSPEAKER,Thing,,
PONY EXPRESS,Proper Name,,
VIDEO GAME DESIGNER,Occupation,,
SINGING ALONG WITH THE RADIO,What Are You Doing?,,
NATURAL HISTORY MUSEUM,Place,,
HILLTOP,Place,,
RAIN FOREST TEEING WITH WILDLIFE,Place,,
EIGHT DAYS A WEEK,Song Title,,
THE WHOLE WIDE WORLD,Phrase,,
WINNING AN ELECTION,Event,,
COZY HIDEAWAY,Place,,
SOUNDS LIKE A PLAN,Phrase,,
TOMATO JUICE,Food & Drink,,
THOMAS JEFFERSON MEMORIAL,Landmark,,
THE ADVENTURES OF TOM SAWYER BY MARK TWAIN,Title/Author,,
VIDEO,Thing,,
ZOOMING AROUND ON A JET SKI,Fun & Games,,
NEWSPAPER HEADLINE,Thing,,
COMMEMORATIVE COINS,Around the House,,
JACK BE QUICK,Quotation,,
PEPPERMINT STICKS,Food & Drink,,
DOUBLE OR NOTHING,Phrase,,
THE MOST WONDERFUL TIME OF THE YEAR,Song Lyrics,,
LOWERCASE LETTER CARRIER,Before & After,,
THINK OUTSIDE THE BOX,Phrase,,
RIDING A PADDLEBOARD,Fun & Games,,
FIVE GOLDEN RINGS,Things,,
PRESIDENTIAL SUITE,Place,,
PROBLEM SOLVED,Phrase,,
A JOYFUL SEASON,Thing,,
CAKE DECORATOR,Occupation,,
MEET ME UNDER THE MISTLETOE,Song Lyrics,,
SECRET SANTA SURPRISES,Same Letter,,
HINDSIGHT,Thing,,
BROWSING FOR SOUVENIRS AND KEEPSAKES,What Are You Doing?,,
FAMILY FARM,Place,,
ON THE EDGE OF MY SEAT,Phrase,,
ALBUQUERQUE NEW MEXICO,On the Map,,
WAISTBAND,Thing,,
A CHRISTMAS CAROL,Title,,
SCOTTISH HIGHLANDS,On the Map,,
BATTERIES SOLD SEPARATELY,Phrase,,
STOCKINGS WERE HUNG BY THE CHIMNEY WITH CARE,Quotation,,
GUPPIES,Living Things,,
ROARING WATERFALLS,Things,,
ASPIRING ARTIST,Person,,
BUTTERED POPCORN,Food & Drink,,
HEAVY OVERCOAT,Thing,,
JEWELRY BOX,Around the House,,
ALL TALK AND NO ACTION FIGURES,Before & After,,
LOOK BOTH WAYS,Phrase,,
WAITING FOR MY SHIP TO COME IN,Phrase,,
CHARITABLE DONATION,Thing,,
GOOEY BROWNIES,Food & Drink,,
HOLLY JOLLY,Rhyme Time,,
ANTIQUE COLLECTOR,Person,,
SHOPPING MALL FOOD COURT,Place,,
JINGLE BELLS JINGLE BELLS JINGLE ALL THE WAY,Song Lyrics,,
TAKE A WHIFF,Phrase,,
A DETAILED ITINERARY,Thing,,
FLOCK OF SNOW GEESE,Living Things,,
HIT THE BUZZER,Phrase,,
BUILDING A SNOWMAN,Fun & Games,,
ROMANCE NOVEL,Thing,,
RICE PUDDING SPRINKLED WITH NUTMEG,Food & Drink,,
GAME PLAN,Thing,,
OUT OF THE CLEAR BLUE SKY,Phrase,,
THE OLD NEIGHBORHOOD,Place,,
POSING FOR A FAMILY PHOTO,What Are You Doing?,,
OFFICIAL BUSINESS,Thing,,
GIVING AND RECEIVING,Phrase,,
LANDMARK ACHIEVEMENT,Thing,,
A YULE LOG BURNING IN THE FIREPLACE,Around the House,,
THE NORTH POLE VAULT,Before & After,,
HOT TOPICS,Things,,
DALMATIANS,Living Things,,
EXACT QUOTE,Thing,,
PRECIOUS MOMENTS,Things,,
TOPEKA KANSAS,On the Map,,
PROGRAMMABLE THERMOSTAT,Around the House,,
EVERY TIME A BELL RINGS AN ANGEL GETS HIS WINGS,Movie Quote,,
A PASSING FANCY,Phrase,,
TOUCANS PARROTS AND GREEN IGUANAS,Living Things,,
TAILOR SHOP,Place,,
FAMOUS LAST WORDS,Phrase,,
A WIDE RANGE OF OPTIONS,Phrase,,
TWO TURTLEDOVES,Living Things,,
ADDRESS BOOK,Around the House,,
SAXOPHONIST,Person,,
A WINK AND A SMILE,Things,,
GETTING MY STORY STRAIGHT,What Are You Doing?,,
FINAL PHASE,Thing,,
FIRST DOWN AND TEN,Fun & Games,,
PARKING LOT ATTENDANT,Occupation,,
ORIGINAL MOTION PICTURE SOUNDTRACK,Show Biz,,
LO AND BEHOLD,Phrase,,
COLLECTING MY THOUGHTS,What Are You Doing?,,
WE HEARD YOU,Phrase,,
THE BIG CHILL,Movie Title,,
CASHMERE SCARF,Around the House,,
BREAK OUT A BOTTLE OF BUBBLY,Phrase,,
CHESTNUTS ROASTING ON AN OPEN FIRE,Song Lyrics,,
GO HOG WILD,Phrase,,
TREASURE TROVE,Thing,,
QUIET SUBURB,Place,,
POLAR BEAR CUB,Living Thing,,
VANILLA FROSTING,Food & Drink,,
OUT WITH THE OLD IN WITH THE NEW,Phrase,,
ARCTIC AND SEWING CIRCLE,Same Name,,
FROG,Thing,,
WAVES CRASHING ALONG THE SHORE,Things,,
TUNNEL OF LOVE,Place,,
TOTAL ECLIPSE OF THE SUN,Event,,
HOME THEATER SYSTEM,Around the House,,
PRIVATE TUTOR,Occupation,,
AWKWARD POSE,Thing,,
ELECTRIC BLANKET,Around the House,,
DINNER AND A MOVIE,Things,,
STICK FIGURE SKATING,Before & After,,
HANG TOUGH,Phrase,,
CAREFREE CATAMARAN CRUISE,Same Letter,,
HIBERNATING ANIMALS,Living Things,,
RESEARCH AND DEVELOPMENT,What Are You Doing?,,
MUFFLED VOICES,Things,,
IOWA CITY IOWA,On the Map,,
WEEKEND WEATHER FORECAST,Thing,,
JANUARY FEBRUARY MARCH OF THE PENGUINS,Before & After,,
PADLOCK,Thing,,
LEMON PINEAPPLE ICE CREAM,Food & Drink,,
THE FAST LANE,Place,,
NOT A MOMENT TOO SOON,Phrase,,
THROWN FOR A LOOP,Phrase,,
THE SWISS ALPS,On the Map,,
THE BLAME GAME,Rhyme Time,,
WHEN YOU LEAST EXPECT IT,Phrase,,
ALL NIGHT LONG UNDERWEAR,Before & After,,
WHITE SAND AND GENTLE BLUE WATER,Things,,
SUGAR BOWL,In the Kitchen,,
WORKING UP AN APPETITE,What Are You Doing?,,
SUCCESS STORY,Thing,,
DRESS TO IMPRESS,Rhyme Time,,
STANDING OUT FROM THE CROWD,What Are You Doing?,,
LOOSE CHANGE AT HEART,Before & After,,
BRANCHING OUT,Phrase,,
EXACTLY WHAT THE DOCTOR ORDERED,Phrase,,
UNDERCOVER BOSS,TV Title,,
PLAYING PRANKS,Fun & Games,,
MAKE A WAGER,Phrase,,
ALEXANDER HAMILTON,Proper Name,,
DANGEROUS MINDS,Movie Title,,
LAUGHTER IS THE BEST MEDICINE,Phrase,,
KEEP YOUR EYE ON THE BALL AND CHAIN,Before & After,,
OUT OF WHACK,Phrase,,
ORDERING DINNER POOLSIDE,What Are You Doing?,,
ARMY SURPLUS STORE,Place,,
THUNDEROUS APPLAUSE,Thing,,
JUST SAY THE WORD,Phrase,,
MEMPHIS TENNESSEE,On the Map,,
MODELING AGENCY,Place,,
UNIVERSITY ATHLETIC DIRECTOR,Occupation,,
EDDIE MURPHY IN BEVERLY HILLS COP,The 80's,,
A WORK OF GENIUS,Phrase,,
LEAVES WINTER BEHIND,Phrase,,
THE TWILIGHT ZONE,Classic TV,,
WHERE THE WILD THINGS ARE,Title,,
GRACE UNDER PRESSURE,Quotation,,
DOUBLE TAKE,Thing,,
AMERICAN GRAFFITI,The 70's,,
GOURMET RESTAURANT,Place,,
I WALK THE LINE BY JOHNNY CASH,Song/Artist,,
YOU HIT THE NAIL ON THE HEAD COACH,Before & After,,
HISTORIAN,Person,,
THE ADVENTURE OF A LIFETIME,Event,,
MILK MUSTACHE,Thing,,
WRITING IN A JOURNAL,What Are You Doing?,,
FOAM PILLOW,Thing,,
VICTORY DANCE,Event,,
BLESS THIS MESS,Rhyme Time,,
TOO MUCH TIME ON MY HANDS,Song Lyrics,,
I GET YOUR DRIFT,Phrase,,
THE SOOTHING SOUND OF THE OCEAN AT NIGHT,Thing,,
BACK IN THE RACE,Phrase,,
STRAWBERRY PRESERVES,Food & Drink,,
YOGA MAT,Thing,,
BLAZING A TRAIL,What Are You Doing?,,
PLAYOFF GAMES,Events,,
BATCH OF FROSTED COOKIES,Food & Drink,,
I SPEAK FLUENT SPANISH OMELET,Before & After,,
HIGH IN FIBER,Phrase,,
HANG ON TO YOUR HATS,Phrase,,
CONCERT HALL,Place,,
FIVE SIX PICK UP STICKS,Rhyme Time,,
GOLDEN RETRIEVER,Living Thing,,
PUBLIC ZOO,Place,,
WIRELESS MOUSE,Thing,,
THE THIRD PLANET FROM THE SUN,Place,,
PRINCE WILLIAM AND KATE MIDDLETON,Husband & Wife,,
AIR CONDITIONING,Thing,,
HEADING SOUTH FOR THE WINTER,What Are You Doing?,,
SILLY PUTTY,Fun & Games,,
PASTRY CHEF,Occupation,,
BOOST MY EGO,Phrase,,
LICENSED PILOT,Person,,
FAMILY REUNION,Event,,
FULL RACK OF BABY BACK RIBS,Food & Drink,,
RUNWAY AND ROLE MODEL,Same Name,,
LOOK ALIVE,Phrase,,
SHOPPING FOR A NEW FLOWERED SHIRT,What Are You Doing?,,
MOVIE THEATER,Place,,
THAT REALLY HIT THE SPOT,Phrase,,
HOTEL VOUCHER,Thing,,
GAINING ALTITUDE,What Are You Doing?,,
THE RIGHT FRAME OF MIND,Phrase,,
TELEVISION METEOROLOGIST,Occupation,,
IS THERE A DOCTOR IN THE HOUSE OF PANCAKES,Before & After,,
BRAN MUFFIN,Thing,,
ROAM IF YOU WANT TO ROAM AROUND THE WORLD,Song Lyrics,,
DOVER DELAWARE,On the Map,,
MOUNTAIN CLIMBING,Fun & Games,,
LIGHT AND FLUFFY,Phrase,,
HEAD OUT ON THE HIGHWAY,Song Lyrics,,
UPSTANDING CITIZEN,Person,,
THE PRINCESS AND THE PEA SOUP,Before & After,,
COLOGNE,Thing,,
SUGAR CANE PLANTATIONS,Places,,
PET CHIHUAHUA,Living Thing,,
BOXING GLOVES,Things,,
MY HOME AWAY FROM HOME,Place,,
DOUBLE FEATURE,Show Biz,,
FRIDAY SATURDAY AND SUNDAY,Things,,
SUPER BOWL OF CEREAL,Before & After,,
DANCING IN THE STREET,Song Title,,
FLORIDA ORANGES,Food & Drink,,
LIKE A KID IN A CANDY STORE,Phrase,,
PLAID FABRIC,Thing,,
WELCOMING COMMITTEE,People,,
TARZAN AND JANE,Characters,,
AN ACTRESS MEMORIZING HER LINES,Show Biz,,
SNOWFLAKE,Thing,,
A WHALE OF A GOOD TIME,Phrase,,
MAGAZINE RACK,Around the House,,
FASHION STATEMENT,Thing,,
WHIP UP SOMETHING,Phrase,,
JULIA ROBERTS,Proper Name,,
TOP SPOT ON THE BILLBOARD CHARTS,Show Biz,,
THE INVISIBLE MAN OF MY DREAMS,Before & After,,
JOE NAMATH,Person,,
SLIPPING AND SLIDING DOWN THE WATER SLIDE,Fun & Games,,
WEDDING BAND,People,,
READING A BIOGRAPHY,What Are You Doing?,,
PROVING GROUND,Place,,
PLAYING HOUSE,Fun & Games,,
JEDI MASTER,Character,,
PUT THE PEDAL TO THE MEDAL,Rhyme Time,,
BIG AS LIFE,Phrase,,
SIGNIFICANT OTHER,Person,,
DOING THE MACARENA,The 90's,,
THE CRITICS AGREE,Show Biz,,
HOW FUNNY,Phrase,,
